Sample;Unique;MultiMapped;Unmapped
UI1_SRR14371953;35621109;31930071;4419805
UI2_SRR14371954;34947152;37404479;2827745
I1_SRR14371955;51068728;30866551;31829927
I2_SRR14371956;47610376;35152757;13338874
I3_SRR14371957;39054155;29731103;1896162
MDX1_SRR15343189;22827033;12504769;17673796
MDX2_SRR15343190;29646503;16001216;4878986
MDX3_SRR15343191;27537434;16172651;9756659
WT1_SRR15343192;24766668;24132561;2068589
WT2_SRR15343193;30863260;19488191;3695898
WT3_SRR15343194;45661021;41886089;1800448
WT4_SRR15343195;18771440;18046309;5413181